Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,City,State,Source Zipcode,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail Address,Mail City,Mail Zipcode,Mail State,NAICS Code,NAICS Code Description,Parking Tax,Transient Occupancy Tax,LIC Code,LIC Code Description,Supervisor District,Neighborhoods - Analysis Boundaries,Business Corridor,Business Location,UniqueID
1298872-02-221,1098348,Epicer Llc,Good Good Culture Club,3560 18th St,San Francisco,CA,94110,11/07/2018,,01/01/2022,,3560 18th St,San Francisco,94110,CA,7220-7229,Food Services,false,false,,,8,Mission,,POINT (-122.42287 37.76165),1298872-02-221-1098348-7220-7229-01-01-2022
1278223-05-211,1098348,Epicer Llc,Culture Club,3560 18th St,San Francisco,CA,94110,11/07/2018,,04/01/2021,01/01/2022,3560 18th St,San Francisco,94110,CA,7220-7229,Food Services,false,false,H26,"Restaurant Greater Than 2,000 Sqft",8,Mission,,POINT (-122.42287 37.76165),1278223-05-211-1098348-7220-7229-04-01-2021
1231744-08-191,1105768,John Nguyen,Silicon Valley Venture Capital Club,388 Market St Ste 1300,San Francisco,CA,94111,08/21/2019,,08/21/2019,,0000 Undeliverable Mail,San Francisco,99999,CA,7220-7229,Food Services,false,false,,,3,Financial District/South Beach,,POINT (-122.39818 37.79188),1231744-08-191-1105768-7220-7229-08-21-2019
1282886-07-211,1126427,Kin Copa,Chisai Sushi Club,3369 Mission St,San Francisco,CA,94110,05/17/2021,05/17/2021,05/17/2021,05/17/2021,,,,,7220-7229,Food Services,false,false,,,9,Bernal Heights,,POINT (-122.4217 37.74273),1282886-07-211-1126427-7220-7229-05-17-2021
1189185-05-181,1088064,"Mission Rad, Llc",500 Club,26 Magnolia St,San Francisco,CA,94123,05/01/2018,,05/01/2018,05/01/2018,500 Guerrero St,San Francisco,94110,CA,7220-7229,Food Services,false,false,,,2,Marina,,POINT (-122.431694 37.80095),1189185-05-181-1088064-7220-7229-05-01-2018
1238991-11-191,1108784,"Shot & A Beer, Llc",Geary Club,768 Geary St,San Francisco,CA,94109,11/18/2019,,11/18/2019,,768 Geary St,San Francisco,94109,CA,7220-7229,Food Services,false,false,,,3,Tenderloin,,POINT (-122.41591 37.786407),1238991-11-191-1108784-7220-7229-11-18-2019
0437959-01-001,0437959,Cercle De L'union,The French Club,414 Mason St Ste 801,San Francisco,CA,94102,01/01/1985,,01/01/1985,,414 Mason St Ste 801,San Francisco,94102,CA,7220-7229,Food Services,false,false,D04 D19 H26,Multiple,3,Tenderloin,,POINT (-122.40991 37.78752),0437959-01-001-0437959-7220-7229-01-01-1985
0121735-01-001,0121735,Gutierrez Carlos V & Rosa,Carlos Club,3278 24th St,San Francisco,CA,94110,12/21/2011,,12/21/2011,07/30/2011,3278 24th St,San Francisco,94110,CA,7220-7229,Food Services,false,false,,,9,Mission,,POINT (-122.41802 37.75229),0121735-01-001-0121735-7220-7229-12-21-2011
1282434-07-211,1124506,Kin Copa Llc,Chisai Sushi Club,3369 Mission St,San Francisco,CA,94110,05/15/2021,,07/19/2021,07/19/2021,358 Prospect Ave,San Francisco,94110,CA,7220-7229,Food Services,false,false,,,9,Bernal Heights,,POINT (-122.4217 37.74273),1282434-07-211-1124506-7220-7229-07-19-2021
0443299-01-001,0443299,Town And Country Club,Town And Country Club,218 Stockton St,San Francisco,CA,94108,01/01/1993,,01/01/1993,,218 Stockton St,San Francisco,94108,CA,7220-7229,Food Services,false,false,H24,"Restaurant Less Than 1,000 Sqft",3,Financial District/South Beach,,POINT (-122.40661 37.787823),0443299-01-001-0443299-7220-7229-01-01-1993
1271683-03-211,1122242,Dim Sum Club Inc,Dim Sum Club,2237 Taraval St,San Francisco,CA,94116,03/11/2021,,03/11/2021,,2237 Taraval St,San Francisco,94116,CA,7220-7229,Food Services,false,false,H26,"Restaurant Greater Than 2,000 Sqft",4,Sunset/Parkside,,POINT (-122.49004 37.742393),1271683-03-211-1122242-7220-7229-03-11-2021
1284377-08-211,1124506,Kin Copa Llc,Chisai Sushi Club,3369 Mission St,San Francisco,CA,94110,05/15/2021,,07/19/2021,,358 Prospect Ave,San Francisco,94110,CA,7220-7229,Food Services,false,false,H24,"Restaurant Less Than 1,000 Sqft",9,Bernal Heights,,POINT (-122.4217 37.74273),1284377-08-211-1124506-7220-7229-07-19-2021
1285685-08-211,1127526,Rock Club,Rock Club,601 Mission Bay Blvd,San Francisco,CA,94158,08/30/2021,,08/30/2021,,103 Singleton Ave Apt C,Alameda,94501,CA,7220-7229,Food Services,false,false,D19 H79,Multiple,6,Mission Bay,,POINT (-122.391266 37.770523),1285685-08-211-1127526-7220-7229-08-30-2021
1214159-02-191,1098820,Wahoo International Llc,Club Maris,1581 Webster St Ste 240,San Francisco,CA,94115,02/26/2019,,02/26/2019,,1581 Webster St 240,San Francisco,94115,CA,7220-7229,Food Services,false,false,H25,"Restaurant 1,000 - 2,000 Sqft",5,Japantown,,POINT (-122.43145 37.78517),1214159-02-191-1098820-7220-7229-02-26-2019
1298016-02-221,0358273,Electrocelt Promotions Inc,Bottle Club Pub,555 Geary St,San Francisco,CA,94102,08/01/2002,,02/01/2022,,244 Kearny St Fl 7,San Francisco,94108,CA,7220-7229,Food Services,false,false,H25,"Restaurant 1,000 - 2,000 Sqft",5,Tenderloin,,POINT (-122.41252 37.786785),1298016-02-221-0358273-7220-7229-02-01-2022
1214499-02-191,0477706,Eat Club Inc,Eat Club,1450 Armstrong Ave,San Francisco,CA,94124,05/01/2013,06/30/2020,01/01/2019,06/30/2020,,,,,7220-7229,Food Services,false,false,,,10,Bayview Hunters Point,,POINT (-122.38943 37.724667),1214499-02-191-0477706-7220-7229-01-01-2019
1229549-07-191,0477706,Eat Club Inc,Eat Club Inc,721 Brannan St,San Francisco,CA,94103,05/01/2013,06/30/2020,01/01/2019,06/30/2020,,,,,7220-7229,Food Services,false,false,,,6,South of Market,,POINT (-122.40165 37.77424),1229549-07-191-0477706-7220-7229-01-01-2019
1214498-02-191,0477706,Eat Club Inc,Eat Club,444 Harriet St,San Francisco,CA,94103,05/01/2013,06/30/2020,01/01/2019,06/30/2020,,,,,7220-7229,Food Services,false,false,,,6,South of Market,,POINT (-122.4012 37.774086),1214498-02-191-0477706-7220-7229-01-01-2019
1088355-08-161,1042010,Club Deluxe,Club Deluxe,Haight St,San Francisco,CA,94117,07/01/2016,08/31/2016,07/01/2016,08/31/2016,,,,,7220-7229,Food Services,false,false,,,5,Haight Ashbury,,POINT (-122.441154 37.770744),1088355-08-161-1042010-7220-7229-07-01-2016
1028947-05-151,1013830,Naranjo Silvino,Tacos Club,2312 Market St,San Francisco,CA,94114,05/18/2015,12/31/2019,05/18/2015,12/31/2019,,,,,7220-7229,Food Services,false,false,,,8,Castro/Upper Market,,POINT (-122.43348 37.76405),1028947-05-151-1013830-7220-7229-05-18-2015
1147399-05-171,1070447,"Ck Fine Dining, Inc.",Fillmore Social Club,1521 Eddy St,San Francisco,CA,94115,04/13/2017,11/11/2018,05/22/2017,11/11/2018,,,,,7220-7229,Food Services,false,false,,,5,Western Addition,,POINT (-122.432724 37.78135),1147399-05-171-1070447-7220-7229-05-22-2017
1216481-03-191,0046324,Compass Group Usa Inc,Eurest/delta Sky Club,280487 San Francisco International Airport,San Francisco,CA,94128,10/01/1968,,03/19/2019,,2400 Yorkmont Rd,Charlotte,28217,NC,7220-7229,Food Services,false,false,,,,,,POINT (-122.39179 37.61477),1216481-03-191-0046324-7220-7229-03-19-2019
1217291-03-191,0046324,Compass Group Usa Inc,Eurest/delta Sky Club,780 Mcdonnell Rd,San Francisco,CA,94128,10/01/1968,,03/28/2019,,2400 Yorkmont Rd,Charlotte,28217,NC,7220-7229,Food Services,false,false,,,,,,POINT (-122.401215 37.627377),1217291-03-191-0046324-7220-7229-03-28-2019
0361217-01-001,0361217,City Club Llc,The City Club Of San Francisco,155 Sansome St Ste 950,San Francisco,CA,94104,11/01/2002,,11/01/2002,,155 Sansome St Fl 12,San Francisco,94104,CA,7220-7229,Food Services,false,false,D04 H26,Multiple,3,Financial District/South Beach,,POINT (-122.40088 37.791676),0361217-01-001-0361217-7220-7229-11-01-2002
0427438-02-001,0427438,Flamenco-Lopez Reina I,Nutri-Clubs,201 Brazil Ave,San Francisco,CA,94112-2012,04/01/2008,,10/01/2011,,201 Brazil Ave,San Francisco,94112,CA,7220-7229,Food Services,false,false,,,11,Excelsior,,POINT (-122.43311 37.723907),0427438-02-001-0427438-7220-7229-10-01-2011
0440731-02-001,0440731,The Fire Society Llc,Phoenix Supper Club The,450 Post St 3rd Fl,San Francisco,CA,94108,08/01/2009,,05/28/2010,12/31/2016,2565 3rd St Ste 311,San Francisco,94107,CA,7220-7229,Food Services,false,false,,,3,Nob Hill,,POINT (-122.409485 37.788467),0440731-02-001-0440731-7220-7229-05-28-2010
0450358-01-001,0450358,Destination Bars Inc,441 Club,441 Jones St,San Francisco,CA,94102,12/01/2010,,12/01/2010,02/01/2012,244 Kearny St Fl 7,San Francisco,94108,CA,7220-7229,Food Services,false,false,,,6,Tenderloin,,POINT (-122.41293 37.785446),0450358-01-001-0450358-7220-7229-12-01-2010
1203707-10-181,0466800,Stag Dining Group,Cerf Club,925 Ofarrell St,San Francisco,CA,94109,03/23/2011,,04/11/2018,11/20/2020,910 Broderick St Apt 2,San Francisco,94115,CA,7220-7229,Food Services,false,false,,,6,Tenderloin,,POINT (-122.420006 37.784874),1203707-10-181-0466800-7220-7229-04-11-2018
1015301-01-151,1007372,Decade Llc,Liholiho Yacht Club,871 Sutter St,San Francisco,CA,94109,12/31/2014,,01/02/2015,,871 Sutter St,San Francisco,94109,CA,7220-7229,Food Services,false,false,D04 H26,Multiple,3,Nob Hill,,POINT (-122.414665 37.78843),1015301-01-151-1007372-7220-7229-01-02-2015
1227359-07-191,1004240,Java Beach Coffee Roasters Inc,Lady Falcon Coffee Club,3620 Wawona St,San Francisco,CA,94116,09/23/2014,,05/14/2015,,3620 Wawona St,San Francisco,94116,CA,7220-7229,Food Services,false,false,H78,Mobile Food Facility 4,4,Sunset/Parkside,,POINT (-122.50555 37.736153),1227359-07-191-1004240-7220-7229-05-14-2015
1015344-01-151,1007392,Trestelle Llc,Hillside Supper Club,300 Precita Ave,San Francisco,CA,94110,01/02/2015,04/01/2020,01/02/2015,04/01/2020,,,,,7220-7229,Food Services,false,false,,,9,Bernal Heights,,POINT (-122.413414 37.746746),1015344-01-151-1007392-7220-7229-01-02-2015
1006263-09-141,1003213,A Friscovich Llc,Club Moderne,895 Bush St,San Francisco,CA,94108,08/22/2014,,09/02/2014,,3739 Balboa St # 192,San Francisco,94121,CA,7220-7229,Food Services,false,false,,,3,Nob Hill,,POINT (-122.4119 37.789734),1006263-09-141-1003213-7220-7229-09-02-2014
1042904-10-151,1004240,Java Beach Coffee Roasters Inc,Lady Falcon Coffee Club,3620 Wawona St,San Francisco,CA,94116,09/23/2014,,10/22/2015,,3620 Wawona St,San Francisco,94116,CA,7220-7229,Food Services,false,false,,,4,Sunset/Parkside,,POINT (-122.50555 37.736153),1042904-10-151-1004240-7220-7229-10-22-2015
1005277-08-141,1003213,A Friscovich Llc,Stookey's Club Moderne,895 Bush St,San Francisco,CA,94108,08/22/2014,,08/22/2014,,3739 Balboa St # 192,San Francisco,94121,CA,7220-7229,Food Services,false,false,H86 P54,Multiple,3,Nob Hill,,POINT (-122.4119 37.789734),1005277-08-141-1003213-7220-7229-08-22-2014
1037341-08-151,1017344,Brooklyn Rose Llc,Ha-Ra Club,875 Geary St,San Francisco,CA,94109,08/15/2015,,08/15/2015,,875 Geary St,San Francisco,94109,CA,7220-7229,Food Services,false,false,H86 P12,Multiple,6,Tenderloin,,POINT (-122.417625 37.786133),1037341-08-151-1017344-7220-7229-08-15-2015
1203360-10-181,1024073,Acworth Peter,The Armory Club,1799 Mission St,San Francisco,CA,94103,01/01/2014,03/01/2018,01/01/2014,03/01/2018,,,,,7220-7229,Food Services,false,false,,,9,Mission,,POINT (-122.41995 37.768364),1203360-10-181-1024073-7220-7229-01-01-2014
1216558-03-191,1099819,Oscar Chavez & Oscar Chavez Jr,Junebugz Banana Club,35 Goettingen St,San Francisco,CA,94134,03/20/2019,06/29/2022,03/20/2019,06/29/2022,***Administratively Closed,,,,7220-7229,Food Services,false,false,,,9,Portola,,POINT (-122.40831 37.731155),1216558-03-191-1099819-7220-7229-03-20-2019
1234369-09-191,1106122,Basis Labs Inc (Fka Lighthouse Labs Inc),Private Chef Club,1750 Cesar Chavez  Unit D,San Francisco,CA,94124,08/30/2019,05/02/2021,09/20/2019,05/02/2021,,,,,7220-7229,Food Services,false,false,,,10,Bayview Hunters Point,,POINT (-122.39434 37.749886),1234369-09-191-1106122-7220-7229-09-20-2019
1240630-12-191,1109519,"Attagirl Enterprises, Inc",Lady Falcon Coffee Club,111 San Benito Way,San Francisco,CA,94127,12/17/2019,,12/17/2019,,111 San Benito Way,San Francisco,94127,CA,7220-7229,Food Services,false,false,,,7,West of Twin Peaks,,POINT (-122.46708 37.734646),1240630-12-191-1109519-7220-7229-12-17-2019
1252059-05-201,1114248,Pmp Group Inc,Yolo Nightclub,333 11th St,San Francisco,CA,94103,05/14/2020,,05/14/2020,,333 11th St,San Francisco,94103,CA,7220-7229,Food Services,false,false,D04 H26 P21 P23,Multiple,6,South of Market,,POINT (-122.41347 37.771458),1252059-05-201-1114248-7220-7229-05-14-2020
1258863-08-201,1106122,Basis Labs Inc (Fka Lighthouse Labs Inc),Private Chef Club,1760 Cesar Chavez  Unit J,San Francisco,CA,94124,08/30/2019,05/02/2021,08/28/2020,05/02/2021,,,,,7220-7229,Food Services,false,false,,,10,Bayview Hunters Point,,POINT (-122.39452 37.749874),1258863-08-201-1106122-7220-7229-08-28-2020
1232608-08-191,1106122,Basis Labs Inc (Fka Lighthouse Labs Inc),Private Chef Club,613 York St,San Francisco,CA,94110,08/30/2019,05/02/2021,08/30/2019,10/31/2019,,,,,7220-7229,Food Services,false,false,,,10,Mission,,POINT (-122.4091 37.761597),1232608-08-191-1106122-7220-7229-08-30-2019
1195715-07-181,1088064,"Mission Rad, Llc",500 Club,500 Guerrero St,San Francisco,CA,94110,05/01/2018,,07/20/2018,,500 Guerrero St,San Francisco,94110,CA,7220-7229,Food Services,false,false,D04 D47,Multiple,8,Mission,,POINT (-122.42402 37.763084),1195715-07-181-1088064-7220-7229-07-20-2018
1260085-09-201,1117504,Selasie Dotse,Mission Bowling Club,3176 17th St,San Francisco,CA,94110,08/04/2020,09/14/2022,08/04/2020,09/14/2022,,,,,7220-7229,Food Services,false,false,,,9,Mission,,POINT (-122.41682 37.76363),1260085-09-201-1117504-7220-7229-08-04-2020
1308695-06-221,1136509,Josue De Leon Lara,Citrus Club The,1790 Haight St,San Francisco,CA,94117,06/29/2022,,06/29/2022,,1790 Haight St,San Francisco,94117,CA,7220-7229,Food Services,false,false,H25,"Restaurant 1,000 - 2,000 Sqft",5,Haight Ashbury,,POINT (-122.45165 37.769432),1308695-06-221-1136509-7220-7229-06-29-2022
0014372-01-001,0014372,Italian Amer Social Club,Italian American Social Club,25 Russia Ave,San Francisco,CA,94112-2733,10/01/1968,,10/01/1968,,25 Russia Ave,San Francisco,94112,CA,7220-7229,Food Services,false,false,D04 H26 P23,Multiple,11,Excelsior,,POINT (-122.4369 37.721485),0014372-01-001-0014372-7220-7229-10-01-1968
0018012-01-001,0018012,Marche Club,Marche Club,4346 Mission St,San Francisco,CA,94112-1521,10/01/1968,,10/01/1968,,4346 Mission St,San Francisco,94112,CA,7220-7229,Food Services,false,false,H24,"Restaurant Less Than 1,000 Sqft",11,Outer Mission,,POINT (-122.43209 37.728016),0018012-01-001-0018012-7220-7229-10-01-1968
0074516-01-001,0074516,Azala Enterprises Inc,Geary Club,768 Geary St,San Francisco,CA,94109-7302,01/01/1973,,01/01/1973,,768 Geary St,San Francisco,94109,CA,7220-7229,Food Services,false,false,A45 H86,Multiple,3,Tenderloin,,POINT (-122.41591 37.786407),0074516-01-001-0074516-7220-7229-01-01-1973
0325414-02-001,0325414,Chen James & Kristi,Club Kristi,782 Ofarrell St,San Francisco,CA,94109-7115,04/06/1999,,08/23/1999,,206 E Crystal Cove Ter,San Francisco,94134,CA,7220-7229,Food Services,false,false,A45 H86,Multiple,5,Tenderloin,,POINT (-122.417564 37.785236),0325414-02-001-0325414-7220-7229-08-23-1999
0328038-02-001,0328038,Beshue Giday & Tesfazgi Nebiat,Club Waziema,543 Divisadero St,San Francisco,CA,94117-2212,07/09/1999,,07/09/1999,,543 Divisadero St,San Francisco,94117,CA,7220-7229,Food Services,false,false,D04 H25 P12 P23,Multiple,5,Hayes Valley,,POINT (-122.437775 37.774464),0328038-02-001-0328038-7220-7229-07-09-1999
0395833-01-001,0395833,Shirley Believes Llc,Club Bottoms Up,4704 Mission St,San Francisco,CA,94112-2730,03/15/2006,,03/15/2006,,30 Lansdale Ave,San Francisco,94127,CA,7220-7229,Food Services,false,false,D04 H26 P23,Multiple,11,Outer Mission,,POINT (-122.436165 37.722923),0395833-01-001-0395833-7220-7229-03-15-2006
0470926-04-001,0470926,Qualia Entertainment Inc,Baloncoire Cafe Dinner Club,2565 Mission St,San Francisco,CA,94110-2511,07/12/2012,,07/12/2012,,2565 Mission St,San Francisco,94110,CA,7220-7229,Food Services,false,false,H26,"Restaurant Greater Than 2,000 Sqft",9,Mission,,POINT (-122.41877 37.75602),0470926-04-001-0470926-7220-7229-07-12-2012
0476500-02-001,0476500,Alcyone Llc,Trocadero Club,701 Geary St,San Francisco,CA,94109-7301,02/11/2013,,09/01/2013,11/01/2018,16 California St,San Francisco,94111,CA,7220-7229,Food Services,false,false,,,5,Tenderloin,,POINT (-122.41492 37.78648),0476500-02-001-0476500-7220-7229-09-01-2013
0478214-01-001,0478214,Shabu Club Llc,Shabu Club Llc,951 Clement St,San Francisco,CA,94118-2110,05/01/2013,,05/01/2013,,951 Clement St,San Francisco,94118,CA,7220-7229,Food Services,false,false,H25,"Restaurant 1,000 - 2,000 Sqft",1,Inner Richmond,,POINT (-122.469246 37.7827),0478214-01-001-0478214-7220-7229-05-01-2013
0478326-02-001,0478326,Bo Bo Go Llc,Dim Sum Club,2550 Van Ness Ave,San Francisco,CA,94109-1609,04/14/2014,,06/28/2014,05/20/2019,223 Lawrence Ave,South San Francisco,94080,CA,7220-7229,Food Services,false,false,,,3,Russian Hill,,POINT (-122.42394 37.799046),0478326-02-001-0478326-7220-7229-06-28-2014
0484015-03-001,0484015,Anchors And Whales Llc,Pops Clubhouse,2800 24th St,San Francisco,CA,94110-4214,10/17/2013,,12/16/2013,,502 Divisadero St,San Francisco,94117,CA,7220-7229,Food Services,false,false,D04 H86 P23,Multiple,9,Mission,,POINT (-122.4083 37.752872),0484015-03-001-0484015-7220-7229-12-16-2013
0488322-01-001,0488322,Hob Punchline Sf Corp,Cobb's Comedy Club,915 Columbus Ave,San Francisco,CA,94133-2309,10/22/2013,,10/22/2013,,325 N Maple Dr,Beverly Hills,90210,CA,7220-7229,Food Services,false,false,H26,"Restaurant Greater Than 2,000 Sqft",3,Russian Hill,,POINT (-122.41397 37.80288),0488322-01-001-0488322-7220-7229-10-22-2013
0470290-02-001,0470290,Julian Holdings Llc,The Armory Club,1799 Mission St,San Francisco,CA,94103-2431,05/22/2009,,07/15/2012,,Po Box 14580,San Francisco,94114,CA,7220-7229,Food Services,false,false,D04 H86 P23,Multiple,9,Mission,,POINT (-122.41995 37.768364),0470290-02-001-0470290-7220-7229-07-15-2012
0427023-01-001,0427023,Ybl Hospitality Partners Llc,Press Club,20 Yerba Buena Ln,San Francisco,CA,94103-3100,04/01/2008,,04/01/2008,,20 Yerba Buena Ln,San Francisco,94103,CA,7220-7229,Food Services,false,false,D04 H26 P23,Multiple,6,Financial District/South Beach,,POINT (-122.404655 37.786083),0427023-01-001-0427023-7220-7229-04-01-2008
0359643-01-001,0359643,Occidental Grill Cigar Club Ll,Occidental Cigar Club The,471 Pine St,San Francisco,CA,94104-2803,05/15/2001,,05/15/2001,,471 Pine St,San Francisco,94104,CA,7220-7229,Food Services,false,false,H31 H86,Multiple,3,Financial District/South Beach,,POINT (-122.403534 37.79175),0359643-01-001-0359643-7220-7229-05-15-2001
0385202-01-001,0385202,Philosophers Inc,Philosophers Club,824 Ulloa St,San Francisco,CA,94127-1117,08/04/2004,,08/04/2004,,824 Ulloa St,San Francisco,94127,CA,7220-7229,Food Services,false,false,H86,Bars/taverns W/o Food Prep,7,West of Twin Peaks,,POINT (-122.46533 37.740704),0385202-01-001-0385202-7220-7229-08-04-2004
0454025-01-001,0454025,Dovre Club Inc,Dovre Club Inc,1498 Valencia St,San Francisco,CA,94110-3717,10/01/2010,,10/01/2010,,1498 Valencia St,San Francisco,94110,CA,7220-7229,Food Services,false,false,H86,Bars/taverns W/o Food Prep,8,Mission,,POINT (-122.420395 37.748993),0454025-01-001-0454025-7220-7229-10-01-2010
0922760-02-001,0922760,Kajouee Hossein,Miraloma Club,749 Portola Dr,San Francisco,CA,94127-1209,07/01/1993,,10/03/1996,,1068 Hyde St,San Francisco,94109,CA,7220-7229,Food Services,false,false,H86 P12,Multiple,7,West of Twin Peaks,,POINT (-122.453735 37.74425),0922760-02-001-0922760-7220-7229-10-03-1996
1278036-05-211,1117001,Dumpling Club Llc,Dumpling Club,3233 22nd St,San Francisco,CA,94110-3006,08/27/2020,,09/01/2020,,3233 22nd St,San Francisco,94110,CA,7220-7229,Food Services,false,false,H25 H74,Multiple,9,Mission,,POINT (-122.41945 37.755363),1278036-05-211-1117001-7220-7229-09-01-2020
0316527-01-001,0316527,Qaqundah Joseph/duer Lina,Citrus Club The,1790 Haight St,San Francisco,CA,94117-2808,05/14/1998,05/01/2022,05/14/1998,05/01/2022,,,,,7220-7229,Food Services,false,false,H24,"Restaurant Less Than 1,000 Sqft",5,Haight Ashbury,,POINT (-122.45165 37.769432),0316527-01-001-0316527-7220-7229-05-14-1998
0914491-01-001,0914491,Cresta's 2211 Club,Cresta's 2211 Club,2211 Polk St,San Francisco,CA,94109-1815,05/08/1992,12/28/2020,05/08/1992,12/28/2020,,,,,7220-7229,Food Services,false,false,,,3,Russian Hill,,POINT (-122.422035 37.79709),0914491-01-001-0914491-7220-7229-05-08-1992
0364643-36-001,0364643,Sodexo America Llc,Aa Admirals Club Sfo,00000 Sf Airport,San Francisco,CA,94128,11/18/2002,,07/14/2008,03/30/2019,400 Airborne Pkwy,Cheektowaga,14225,NY,7220-7229,Food Services,false,false,,,,,,POINT (-122.39169 37.61479),0364643-36-001-0364643-7220-7229-07-14-2008
1121646-09-161,1058547,Sodexo Magic Llc,Delta Sky Club Sfo,San Francisco Intl Airport,San Francisco,CA,94128,01/01/2016,,01/01/2016,10/31/2021,Po Box 352,Buffalo,14240,NY,7220-7229,Food Services,false,false,,,,,,POINT (-122.39169 37.61479),1121646-09-161-1058547-7220-7229-01-01-2016
1258771-08-201,1117001,Dumpling Club Llc,Dumpling Club,2261 Market St Ste 470,San Francisco,CA,94110,08/27/2020,,08/27/2020,08/16/2022,3233 22nd St,San Francisco,94110,CA,7220-7229,Food Services,false,false,,,8,Castro/Upper Market,Market/Castro,POINT (-122.431984 37.76472),1258771-08-201-1117001-7220-7229-08-27-2020
1292729-12-211,0046324,Compass Group Usa Inc,"United Club Bae, United Airlines",Terminal 3 Concourse,San Francisco,CA,94128,10/01/1968,,12/02/2021,,2400 Yorkmont Rd,Charlotte,28217,NC,7220-7229,Food Services,false,false,,,,,,POINT (-122.40682 37.646137),1292729-12-211-0046324-7220-7229-12-02-2021
1300209-03-221,0450358,Destination Bars Inc,The Dawn Club & The Lark,685 Market St,San Francisco,CA,94103,12/01/2010,,03/14/2022,,244 Kearny St Fl 7,San Francisco,94108,CA,7220-7229,Food Services,false,false,,,6,Financial District/South Beach,,POINT (-122.40276 37.78765),1300209-03-221-0450358-7220-7229-03-14-2022
